5 0 1 0.262375 2.09597 0 56.5625 308781 12885 1500 false
5 1 2 1.4983 12.0002 0 390.281 307671 1874 1500 false
5 2 3 11.9885 95.9109 0 3122.25 366127 2168 1500 false
5 3 4 10 80.0021 0 12733.6 603999 11850 1500 false
5 4 5 11.25 90.0088 0 12733.6 762261 550 1500 false
5 5 6 10 80.0071 0 12733.6 771284 986 1500 false
5 6 7 11.25 89.9943 0 12733.6 725665 479 1500 false
5 7 8 10 79.9994 0 12733.6 752849 530 1500 false
5 8 9 11.25 89.9941 0 12733.6 721015 542 1500 false
5 9 10 11.25 90.0103 0 12733.6 724781 578 1500 false
